voteresult,SCIij,leave rate,GDHIperhead_pounds_2016,rate_60,No Qualifications,Other Qualifications,Below NQF Level 2,NQF Level 2,Trade Apprenticeships,NQF Level 3,NQF Level 4 and above,(16-64)unemployment rate,(16-64)Economic inactivity rate,Claimant Count rate,job density(16-62) ratio
1,161,0.6419,15814,0.251009548,0.068,0.068,0.089,0.184,0.045,0.203,0.343,6.41,22.65,4.54,0.72
1,255,0.6586,15219,0.258300011,0.068,0.08,0.109,0.137,0.036,0.182,0.388,5.61,29.08,4.02,0.68
1,315,0.5618,16281,0.269417544,0.051,0.055,0.097,0.189,0.027,0.202,0.379,5.83,21.09,3.85,0.84
1,182,0.5755,15524,0.274775538,0.068,0.062,0.093,0.169,0.047,0.181,0.379,7.21,23.04,3.5,0.63
1,159,0.5411,19006,0.325537808,0.052,0.04,0.101,0.2,0.055,0.191,0.361,6.33,22.93,2.59,0.69
1,293,0.546,15636,0.240557242,0.052,0.055,0.089,0.165,0.04,0.192,0.407,6.17,22.63,4.02,0.82
1,193,0.6134,15161,0.265044321,0.055,0.06,0.133,0.203,0.054,0.182,0.313,6.38,24.76,3.77,0.75
1,159,0.6019,17611,0.303126181,0.038,0.047,0.097,0.168,0.053,0.262,0.335,3.24,23.3,2.79,0.84
1,365,0.5334,20187,0.329277236,0.064,0.07,0.118,0.151,0.036,0.206,0.354,3.98,16.55,1.17,1.07
1,479,0.5427,13536,0.129304288,0.048,0.048,0.084,0.121,0.033,0.159,0.508,8.53,27.52,3.4,1.18
1,510,0.5118,19312,0.207492928,0.039,0.065,0.104,0.153,0.041,0.185,0.412,4.54,19.37,2.6,1.02
1,269,0.5068,18014,0.24871787,0.048,0.053,0.105,0.165,0.045,0.179,0.405,4.88,20.93,2.55,0.76
0,305,0.3964,15550,0.23956937,0.065,0.056,0.112,0.185,0.044,0.19,0.348,4.46,22.59,3.22,0.69
0,365,0.4908,15590,0.223350588,0.065,0.081,0.111,0.139,0.045,0.192,0.366,4.52,24.83,3.5,0.67
1,326,0.5311,12753,0.197740302,0.056,0.103,0.119,0.149,0.057,0.2,0.316,5.49,27.6,3.85,0.79
1,316,0.6133,15166,0.268529281,0.051,0.074,0.103,0.205,0.051,0.197,0.32,4.73,24.22,4.56,0.87
1,276,0.5841,16509,0.298765012,0.042,0.061,0.111,0.164,0.061,0.189,0.372,2.79,18.65,2.34,0.67
1,378,0.5634,18464,0.268657923,0.046,0.06,0.091,0.176,0.072,0.192,0.363,2.22,21.34,1.79,1.03
1,394,0.6746,15244,0.245954286,0.058,0.052,0.113,0.182,0.082,0.16,0.353,2.35,22.31,3.3,0.71
1,351,0.5696,18441,0.272846876,0.043,0.049,0.181,0.199,0.049,0.186,0.293,5.52,23.5,1.97,0.74
1,456,0.5623,19051,0.247927835,0.032,0.058,0.097,0.186,0.039,0.164,0.426,3.04,17.4,2.48,1.18
1,410,0.6526,22605,0.295594803,0.035,0.058,0.075,0.139,0.043,0.171,0.478,3.67,20.81,1.59,0.98
1,321,0.5607,20206,0.280008817,0.048,0.054,0.099,0.207,0.05,0.138,0.403,3.43,15.54,2.28,0.97
1,255,0.5586,15811,0.252940348,0.064,0.052,0.11,0.204,0.037,0.201,0.332,3.22,22.49,3.64,0.78
0,467,0.4181,14865,0.199920063,0.077,0.05,0.086,0.177,0.029,0.161,0.419,4.03,25.64,3.46,0.89
0,351,0.4813,18146,0.30663795,0.047,0.044,0.086,0.229,0.035,0.214,0.344,2.46,22.53,3.51,0.63
0,208,0.483,17772,0.284460651,0.072,0.076,0.105,0.179,0.044,0.154,0.371,3.6,26.07,3.19,0.61
1,520,0.6762,13410,0.204049055,0.046,0.095,0.1,0.14,0.054,0.202,0.363,5.05,22.54,3.86,0.82
1,272,0.604,18494,0.335466997,0.045,0.084,0.122,0.167,0.065,0.178,0.338,3.92,21.74,1.66,0.77
1,412,0.6798,15393,0.274909668,0.064,0.094,0.144,0.183,0.048,0.173,0.293,5.6,23.06,3.66,0.8
0,353,0.4196,18297,0.237014773,0.049,0.032,0.086,0.123,0.031,0.163,0.514,1.95,20.27,1.25,0.89
1,314,0.5494,20671,0.319443569,0.049,0.08,0.094,0.187,0.057,0.18,0.352,2.37,20.67,1.56,0.94
1,447,0.6841,15684,0.257296722,0.049,0.095,0.137,0.183,0.05,0.165,0.321,5.66,22.55,3.18,0.69
1,365,0.5099,15073,0.209624385,0.044,0.054,0.084,0.15,0.045,0.168,0.456,4.96,24.9,2.23,0.78
1,381,0.5423,14461,0.202809247,0.073,0.076,0.136,0.135,0.052,0.192,0.337,5.97,25.02,3.26,0.69
0,473,0.4969,16940,0.203824245,0.061,0.057,0.097,0.142,0.028,0.168,0.447,4.13,15.9,2.29,1.02
1,270,0.55,16035,0.239262017,0.073,0.072,0.112,0.14,0.038,0.195,0.37,3.21,24.67,3.21,0.74
1,374,0.6636,16184,0.251009861,0.082,0.085,0.127,0.183,0.047,0.174,0.303,5.46,20.8,1.97,0.8
1,506,0.5722,15080,0.214410805,0.034,0.061,0.092,0.144,0.049,0.168,0.452,4.9,20.62,2.27,0.98
1,229,0.6392,15624,0.288627031,0.051,0.112,0.127,0.158,0.045,0.197,0.31,7.24,21.96,2.04,0.69
1,244,0.5736,19062,0.281736703,0.053,0.063,0.119,0.176,0.054,0.219,0.316,3.68,16.82,1.55,0.74
1,506,0.5084,12782,0.157894106,0.055,0.073,0.074,0.131,0.03,0.187,0.45,6.33,24.22,3.03,0.96
1,446,0.6707,16407,0.271645996,0.087,0.105,0.144,0.187,0.029,0.188,0.26,4.48,22.22,1.97,0.77
1,310,0.5073,19245,0.271365167,0.03,0.063,0.138,0.174,0.035,0.201,0.358,5.34,20.19,1.33,0.6
0,604,0.4892,12894,0.166905799,0.078,0.105,0.119,0.144,0.025,0.156,0.374,5.86,23.23,2.11,0.85
1,345,0.5636,18482,0.268223321,0.038,0.067,0.124,0.169,0.042,0.228,0.331,3.19,17.46,1.17,0.81
1,760,0.5735,20082,0.234218527,0.058,0.075,0.091,0.136,0.062,0.19,0.388,5.9,17.04,1.62,0.98
1,732,0.6125,18386,0.243578428,0.048,0.134,0.093,0.21,0.037,0.175,0.304,1.41,17.01,1.97,0.86
1,537,0.6516,17211,0.302950289,0.057,0.109,0.134,0.186,0.04,0.164,0.31,5.83,24.14,2.04,0.78
1,714,0.5922,19301,0.31742343,0.074,0.063,0.11,0.17,0.04,0.177,0.367,2.99,19.77,1.24,0.95
1,439,0.5744,19999,0.291458587,0.076,0.085,0.074,0.175,0.03,0.186,0.375,3.46,19.01,1.61,0.86
1,517,0.5476,22215,0.267260107,0.056,0.074,0.091,0.166,0.022,0.18,0.41,3.09,16.79,1.65,1
1,452,0.6322,16455,0.22880597,0.056,0.087,0.095,0.19,0.04,0.193,0.339,5.98,21,1.81,0.89
1,310,0.5687,19295,0.317208518,0.051,0.061,0.123,0.17,0.04,0.242,0.313,3.94,18.9,1.43,0.86
1,424,0.6936,14193,0.227199739,0.066,0.107,0.114,0.179,0.05,0.186,0.297,3.01,22.12,2.98,0.84
1,351,0.6287,18086,0.281668197,0.05,0.078,0.129,0.168,0.053,0.187,0.335,5.36,18.59,1.35,0.76
1,513,0.5042,14362,0.173516006,0.07,0.103,0.086,0.152,0.02,0.163,0.407,8.49,27.6,5.32,0.82
1,263,0.5616,22255,0.267843901,0.059,0.066,0.088,0.159,0.036,0.208,0.384,4.32,18.83,2.44,1.2
1,793,0.556,14646,0.176183994,0.048,0.073,0.075,0.161,0.039,0.172,0.431,5.82,24.2,1.93,0.73
1,256,0.676,16076,0.260053844,0.102,0.098,0.151,0.188,0.012,0.162,0.288,6.19,23.56,3.85,0.68
